id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,ser żółty;chleb pełnoziarnisty,0.160,banany;mleko,0.165,0.026,0.162,0.985
2052,jajka;banany,0.157,ziemniaki,0.401,0.062,0.395,0.985
2053,ser żółty;płatki owsiane,0.078,jajka,0.432,0.032,0.410,0.950
2054,ser żółty;jajka,0.176,płatki owsiane,0.210,0.032,0.182,0.866
2055,płatki owsiane;jajka,0.080,ser żółty,0.418,0.032,0.400,0.957
2056,jajka;chleb pełnoziarnisty,0.180,banany,0.389,0.067,0.372,0.957
2057,jajka;banany,0.157,chleb pełnoziarnisty,0.414,0.067,0.427,1.031
2058,chleb pełnoziarnisty;banany,0.158,jajka,0.432,0.067,0.424,0.982
2059,ser żółty;ryż brązowy,0.171,mleko,0.434,0.076,0.444,1.024
2060,ser żółty;mleko,0.194,ryż brązowy,0.412,0.076,0.392,0.951
2061,ryż brązowy;mleko,0.181,ser żółty,0.418,0.076,0.420,1.005
2062,płatki owsiane;ryż brązowy,0.070,chleb pełnoziarnisty,0.414,0.023,0.329,0.794
2063,płatki owsiane;chleb pełnoziarnisty,0.073,ryż brązowy,0.412,0.023,0.315,0.765
2064,ryż brązowy;chleb pełnoziarnisty,0.176,płatki owsiane,0.210,0.023,0.131,0.622
2065,oliwa z oliwek;chleb pełnoziarnisty,0.075,mleko,0.434,0.024,0.320,0.737
2066,oliwa z oliwek;mleko,0.075,chleb pełnoziarnisty,0.414,0.024,0.320,0.773
2067,chleb pełnoziarnisty;mleko,0.177,oliwa z oliwek,0.196,0.024,0.136,0.692
2068,ziemniaki;pomidory,0.075,jogurt naturalny,0.434,0.024,0.320,0.737
2069,ziemniaki;jogurt naturalny,0.165,pomidory,0.196,0.024,0.145,0.742
2070,pomidory;jogurt naturalny,0.074,ziemniaki,0.401,0.024,0.324,0.809
2071,ziemniaki;pomidory,0.075,ser żółty,0.418,0.026,0.347,0.829
2072,ziemniaki;ser żółty,0.159,pomidory,0.196,0.026,0.164,0.834
2073,pomidory;ser żółty,0.065,ziemniaki,0.401,0.026,0.400,0.998
2074,ziemniaki;jogurt naturalny,0.165,kurczak,0.192,0.025,0.152,0.789
2075,ziemniaki;kurczak,0.065,jogurt naturalny,0.434,0.025,0.385,0.886
2076,jogurt naturalny;kurczak,0.076,ziemniaki,0.401,0.025,0.329,0.820
2077,ser żółty;chleb pełnoziarnisty,0.160,makaron pełnoziarnisty,0.183,0.020,0.125,0.683
2078,ser żółty;makaron pełnoziarnisty,0.063,chleb pełnoziarnisty,0.414,0.020,0.317,0.767
2079,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,ser żółty,0.418,0.020,0.286,0.684
2080,ser żółty;chleb pełnoziarnisty,0.160,kurczak,0.192,0.020,0.125,0.651
2081,ser żółty;kurczak,0.065,chleb pełnoziarnisty,0.414,0.020,0.308,0.743
2082,chleb pełnoziarnisty;kurczak,0.076,ser żółty,0.418,0.020,0.263,0.630
2083,pomidory;ser żółty,0.065,chleb pełnoziarnisty,0.414,0.023,0.354,0.855
2084,pomidory;chleb pełnoziarnisty,0.076,ser żółty,0.418,0.023,0.303,0.724
2085,ser żółty;chleb pełnoziarnisty,0.160,pomidory,0.196,0.023,0.144,0.733
2086,chleb pełnoziarnisty;ogórki,0.163,mleko,0.434,0.064,0.393,0.905
2087,chleb pełnoziarnisty;mleko,0.177,ogórki,0.396,0.064,0.362,0.913
2088,ogórki;mleko,0.162,chleb pełnoziarnisty,0.414,0.064,0.395,0.954
2089,płatki owsiane;chleb pełnoziarnisty,0.073,ogórki,0.396,0.024,0.329,0.830
2090,płatki owsiane;ogórki,0.074,chleb pełnoziarnisty,0.414,0.024,0.324,0.783
2091,chleb pełnoziarnisty;ogórki,0.163,płatki owsiane,0.210,0.024,0.147,0.701
2092,oliwa z oliwek;mleko,0.075,kurczak,0.192,0.020,0.267,1.389
2093,oliwa z oliwek;kurczak,0.047,mleko,0.434,0.020,0.426,0.980
2094,mleko;kurczak,0.068,oliwa z oliwek,0.196,0.020,0.294,1.501
2095,pomidory;ser żółty,0.065,ogórki,0.396,0.020,0.308,0.777
2096,pomidory;ogórki,0.068,ser żółty,0.418,0.020,0.294,0.704
2097,ser żółty;ogórki,0.172,pomidory,0.196,0.020,0.116,0.593
2098,chleb pełnoziarnisty;jogurt naturalny,0.169,ogórki,0.396,0.065,0.385,0.971
2099,chleb pełnoziarnisty;ogórki,0.163,jogurt naturalny,0.434,0.065,0.399,0.919
2100,jogurt naturalny;ogórki,0.162,chleb pełnoziarnisty,0.414,0.065,0.401,0.969
2101,oliwa z oliwek;jabłka,0.066,ryż brązowy,0.412,0.026,0.394,0.956
2102,oliwa z oliwek;ryż brązowy,0.070,jabłka,0.407,0.026,0.371,0.913
2103,jabłka;ryż brązowy,0.175,oliwa z oliwek,0.196,0.026,0.149,0.758
2104,ziemniaki;płatki owsiane,0.080,ogórki,0.396,0.026,0.325,0.821
2105,ziemniaki;ogórki,0.153,płatki owsiane,0.210,0.026,0.170,0.809
2106,płatki owsiane;ogórki,0.074,ziemniaki,0.401,0.026,0.351,0.876
2107,ser żółty;mleko,0.194,makaron pełnoziarnisty,0.183,0.030,0.155,0.845
2108,ser żółty;makaron pełnoziarnisty,0.063,mleko,0.434,0.030,0.476,1.097
2109,mleko;makaron pełnoziarnisty,0.071,ser żółty,0.418,0.030,0.423,1.011
2110,jogurt naturalny;mleko,0.184,kurczak,0.192,0.027,0.147,0.764
2111,jogurt naturalny;kurczak,0.076,mleko,0.434,0.027,0.355,0.819
2112,mleko;kurczak,0.068,jogurt naturalny,0.434,0.027,0.397,0.915
2113,jabłka;ryż brązowy,0.175,makaron pełnoziarnisty,0.183,0.029,0.166,0.906
2114,jabłka;makaron pełnoziarnisty,0.066,ryż brązowy,0.412,0.029,0.439,1.066
2115,ryż brązowy;makaron pełnoziarnisty,0.067,jabłka,0.407,0.029,0.433,1.063
2116,ziemniaki;ser żółty,0.159,jajka,0.432,0.064,0.403,0.932
2117,ziemniaki;jajka,0.177,ser żółty,0.418,0.064,0.362,0.865
2118,ser żółty;jajka,0.176,ziemniaki,0.401,0.064,0.364,0.907
2119,pomidory;ryż brązowy,0.063,chleb pełnoziarnisty,0.414,0.023,0.365,0.882
2120,pomidory;chleb pełnoziarnisty,0.076,ryż brązowy,0.412,0.023,0.303,0.735
2121,ryż brązowy;chleb pełnoziarnisty,0.176,pomidory,0.196,0.023,0.131,0.667
2122,ryż brązowy;jogurt naturalny,0.172,kurczak,0.192,0.022,0.128,0.666
2123,ryż brązowy;kurczak,0.060,jogurt naturalny,0.434,0.022,0.367,0.845
2124,jogurt naturalny;kurczak,0.076,ryż brązowy,0.412,0.022,0.289,0.703
2125,ser żółty;jajka,0.176,makaron pełnoziarnisty,0.183,0.024,0.136,0.745
2126,ser żółty;makaron pełnoziarnisty,0.063,jajka,0.432,0.024,0.381,0.882
2127,jajka;makaron pełnoziarnisty,0.067,ser żółty,0.418,0.024,0.358,0.857
2128,jabłka;jajka,0.167,chleb pełnoziarnisty,0.414,0.059,0.353,0.853
2129,jabłka;chleb pełnoziarnisty,0.162,jajka,0.432,0.059,0.364,0.843
2130,jajka;chleb pełnoziarnisty,0.180,jabłka,0.407,0.059,0.328,0.805
2131,ziemniaki;płatki owsiane,0.080,jajka,0.432,0.030,0.375,0.868
2132,ziemniaki;jajka,0.177,płatki owsiane,0.210,0.030,0.169,0.807
2133,płatki owsiane;jajka,0.080,ziemniaki,0.401,0.030,0.375,0.935
2134,ziemniaki;ser żółty,0.159,mleko,0.434,0.081,0.509,1.174
2135,ziemniaki;mleko,0.178,ser żółty,0.418,0.081,0.455,1.089
2136,ser żółty;mleko,0.194,ziemniaki,0.401,0.081,0.418,1.041
2137,ziemniaki;oliwa z oliwek,0.071,ser żółty,0.418,0.028,0.394,0.943
2138,ziemniaki;ser żółty,0.159,oliwa z oliwek,0.196,0.028,0.176,0.898
2139,oliwa z oliwek;ser żółty,0.075,ziemniaki,0.401,0.028,0.373,0.931
2140,pomidory;jogurt naturalny,0.074,kurczak,0.192,0.020,0.270,1.408
2141,pomidory;kurczak,0.049,jogurt naturalny,0.434,0.020,0.408,0.940
2142,jogurt naturalny;kurczak,0.076,pomidory,0.196,0.020,0.263,1.343
2143,ziemniaki;jabłka,0.160,mleko,0.434,0.077,0.481,1.109
2144,ziemniaki;mleko,0.178,jabłka,0.407,0.077,0.433,1.063
2145,jabłka;mleko,0.170,ziemniaki,0.401,0.077,0.453,1.130
2146,jabłka;płatki owsiane,0.082,ryż brązowy,0.412,0.026,0.317,0.770
2147,jabłka;ryż brązowy,0.175,płatki owsiane,0.210,0.026,0.149,0.707
2148,płatki owsiane;ryż brązowy,0.070,jabłka,0.407,0.026,0.371,0.913
2149,płatki owsiane;jajka,0.080,mleko,0.434,0.025,0.313,0.720
2150,płatki owsiane;mleko,0.079,jajka,0.432,0.025,0.316,0.733
2151,jajka;mleko,0.171,płatki owsiane,0.210,0.025,0.146,0.696
2152,ser żółty;ogórki,0.172,banany,0.389,0.071,0.413,1.061
2153,ser żółty;banany,0.163,ogórki,0.396,0.071,0.436,1.100
2154,ogórki;banany,0.156,ser żółty,0.418,0.071,0.455,1.089
2155,ryż brązowy;ogórki,0.169,mleko,0.434,0.074,0.438,1.009
2156,ryż brązowy;mleko,0.181,ogórki,0.396,0.074,0.409,1.032
2157,ogórki;mleko,0.162,ryż brązowy,0.412,0.074,0.457,1.109
2158,jabłka;jogurt naturalny,0.177,banany,0.389,0.058,0.328,0.842
2159,jabłka;banany,0.160,jogurt naturalny,0.434,0.058,0.363,0.835
2160,jogurt naturalny;banany,0.156,jabłka,0.407,0.058,0.372,0.914
2161,oliwa z oliwek;jogurt naturalny,0.085,kurczak,0.192,0.020,0.235,1.225
2162,oliwa z oliwek;kurczak,0.047,jogurt naturalny,0.434,0.020,0.426,0.980
2163,jogurt naturalny;kurczak,0.076,oliwa z oliwek,0.196,0.020,0.263,1.343
2164,oliwa z oliwek;jabłka,0.066,jogurt naturalny,0.434,0.030,0.455,1.047
2165,oliwa z oliwek;jogurt naturalny,0.085,jabłka,0.407,0.030,0.353,0.867
2166,jabłka;jogurt naturalny,0.177,oliwa z oliwek,0.196,0.030,0.169,0.865
2167,ser żółty;ryż brązowy,0.171,ogórki,0.396,0.079,0.462,1.167
2168,ser żółty;ogórki,0.172,ryż brązowy,0.412,0.079,0.459,1.115
2169,ryż brązowy;ogórki,0.169,ser żółty,0.418,0.079,0.467,1.118
2170,ziemniaki;pomidory,0.075,jajka,0.432,0.024,0.320,0.741
2171,ziemniaki;jajka,0.177,pomidory,0.196,0.024,0.136,0.692
2172,pomidory;jajka,0.070,ziemniaki,0.401,0.024,0.343,0.855
2173,jajka;banany,0.157,kurczak,0.192,0.026,0.166,0.863
2174,jajka;kurczak,0.080,banany,0.389,0.026,0.325,0.835
2175,banany;kurczak,0.066,jajka,0.432,0.026,0.394,0.912
2176,płatki owsiane;ryż brązowy,0.070,jogurt naturalny,0.434,0.024,0.343,0.790
2177,płatki owsiane;jogurt naturalny,0.079,ryż brązowy,0.412,0.024,0.304,0.737
2178,ryż brązowy;jogurt naturalny,0.172,płatki owsiane,0.210,0.024,0.140,0.664
2179,jajka;ryż brązowy,0.171,banany,0.389,0.066,0.386,0.992
2180,jajka;banany,0.157,ryż brązowy,0.412,0.066,0.420,1.020
2181,ryż brązowy;banany,0.149,jajka,0.432,0.066,0.443,1.025
2182,chleb pełnoziarnisty;banany,0.158,kurczak,0.192,0.026,0.165,0.857
2183,chleb pełnoziarnisty;kurczak,0.076,banany,0.389,0.026,0.342,0.879
2184,banany;kurczak,0.066,chleb pełnoziarnisty,0.414,0.026,0.394,0.952
2185,oliwa z oliwek;jajka,0.071,chleb pełnoziarnisty,0.414,0.028,0.394,0.953
2186,oliwa z oliwek;chleb pełnoziarnisty,0.075,jajka,0.432,0.028,0.373,0.864
2187,jajka;chleb pełnoziarnisty,0.180,oliwa z oliwek,0.196,0.028,0.156,0.794
2188,ziemniaki;oliwa z oliwek,0.071,jogurt naturalny,0.434,0.030,0.423,0.974
2189,ziemniaki;jogurt naturalny,0.165,oliwa z oliwek,0.196,0.030,0.182,0.928
2190,oliwa z oliwek;jogurt naturalny,0.085,ziemniaki,0.401,0.030,0.353,0.880
2191,ser żółty;chleb pełnoziarnisty,0.160,jogurt naturalny,0.434,0.061,0.381,0.878
2192,ser żółty;jogurt naturalny,0.175,chleb pełnoziarnisty,0.414,0.061,0.349,0.842
2193,chleb pełnoziarnisty;jogurt naturalny,0.169,ser żółty,0.418,0.061,0.361,0.864
2194,pomidory;chleb pełnoziarnisty,0.076,banany,0.389,0.026,0.342,0.879
2195,pomidory;banany,0.066,chleb pełnoziarnisty,0.414,0.026,0.394,0.952
2196,chleb pełnoziarnisty;banany,0.158,pomidory,0.196,0.026,0.165,0.840
2197,oliwa z oliwek;ryż brązowy,0.070,chleb pełnoziarnisty,0.414,0.027,0.386,0.932
2198,oliwa z oliwek;chleb pełnoziarnisty,0.075,ryż brązowy,0.412,0.027,0.360,0.874
2199,ryż brązowy;chleb pełnoziarnisty,0.176,oliwa z oliwek,0.196,0.027,0.153,0.783
2200,ziemniaki;jabłka,0.160,makaron pełnoziarnisty,0.183,0.022,0.137,0.751
2201,ziemniaki;makaron pełnoziarnisty,0.062,jabłka,0.407,0.022,0.355,0.872
2202,jabłka;makaron pełnoziarnisty,0.066,ziemniaki,0.401,0.022,0.333,0.831
2203,ziemniaki;ser żółty,0.159,kurczak,0.192,0.023,0.145,0.753
2204,ziemniaki;kurczak,0.065,ser żółty,0.418,0.023,0.354,0.847
2205,ser żółty;kurczak,0.065,ziemniaki,0.401,0.023,0.354,0.882
2206,jajka;mleko,0.171,banany,0.389,0.058,0.339,0.872
2207,jajka;banany,0.157,mleko,0.434,0.058,0.369,0.851
2208,banany;mleko,0.165,jajka,0.432,0.058,0.352,0.814
2209,ryż brązowy;chleb pełnoziarnisty,0.176,makaron pełnoziarnisty,0.183,0.024,0.136,0.745
2210,ryż brązowy;makaron pełnoziarnisty,0.067,chleb pełnoziarnisty,0.414,0.024,0.358,0.865
2211,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,ryż brązowy,0.412,0.024,0.343,0.832
2212,oliwa z oliwek;ser żółty,0.075,ryż brązowy,0.412,0.025,0.333,0.809
2213,oliwa z oliwek;ryż brązowy,0.070,ser żółty,0.418,0.025,0.357,0.854
2214,ser żółty;ryż brązowy,0.171,oliwa z oliwek,0.196,0.025,0.146,0.746
2215,jabłka;banany,0.160,kurczak,0.192,0.024,0.150,0.781
2216,jabłka;kurczak,0.066,banany,0.389,0.024,0.364,0.935
2217,banany;kurczak,0.066,jabłka,0.407,0.024,0.364,0.893
2218,jajka;ogórki,0.155,banany,0.389,0.064,0.413,1.061
2219,jajka;banany,0.157,ogórki,0.396,0.064,0.408,1.029
2220,ogórki;banany,0.156,jajka,0.432,0.064,0.410,0.950
2221,ziemniaki;pomidory,0.075,mleko,0.434,0.028,0.373,0.860
2222,ziemniaki;mleko,0.178,pomidory,0.196,0.028,0.157,0.803
2223,pomidory;mleko,0.082,ziemniaki,0.401,0.028,0.341,0.852
2224,pomidory;mleko,0.082,banany,0.389,0.026,0.317,0.815
2225,pomidory;banany,0.066,mleko,0.434,0.026,0.394,0.908
2226,banany;mleko,0.165,pomidory,0.196,0.026,0.158,0.804
2227,ryż brązowy;ogórki,0.169,banany,0.389,0.068,0.402,1.034
2228,ryż brązowy;banany,0.149,ogórki,0.396,0.068,0.456,1.152
2229,ogórki;banany,0.156,ryż brązowy,0.412,0.068,0.436,1.058
2230,jabłka;jajka,0.167,jogurt naturalny,0.434,0.071,0.425,0.980
2231,jabłka;jogurt naturalny,0.177,jajka,0.432,0.071,0.401,0.929
2232,jajka;jogurt naturalny,0.180,jabłka,0.407,0.071,0.394,0.969
2233,pomidory;ser żółty,0.065,mleko,0.434,0.031,0.477,1.099
2234,pomidory;mleko,0.082,ser żółty,0.418,0.031,0.378,0.904
2235,ser żółty;mleko,0.194,pomidory,0.196,0.031,0.160,0.815
2236,ziemniaki;chleb pełnoziarnisty,0.164,jogurt naturalny,0.434,0.066,0.402,0.927
2237,ziemniaki;jogurt naturalny,0.165,chleb pełnoziarnisty,0.414,0.066,0.400,0.966
2238,chleb pełnoziarnisty;jogurt naturalny,0.169,ziemniaki,0.401,0.066,0.391,0.974
2239,ziemniaki;jajka,0.177,ryż brązowy,0.412,0.071,0.401,0.974
2240,ziemniaki;ryż brązowy,0.156,jajka,0.432,0.071,0.455,1.054
2241,jajka;ryż brązowy,0.171,ziemniaki,0.401,0.071,0.415,1.035
2242,jabłka;ser żółty,0.163,płatki owsiane,0.210,0.030,0.184,0.876
2243,jabłka;płatki owsiane,0.082,ser żółty,0.418,0.030,0.366,0.875
2244,ser żółty;płatki owsiane,0.078,jabłka,0.407,0.030,0.385,0.945
2245,ryż brązowy;mleko,0.181,makaron pełnoziarnisty,0.183,0.025,0.138,0.755
2246,ryż brązowy;makaron pełnoziarnisty,0.067,mleko,0.434,0.025,0.373,0.860
2247,mleko;makaron pełnoziarnisty,0.071,ryż brązowy,0.412,0.025,0.352,0.855
2248,pomidory;jajka,0.070,ogórki,0.396,0.023,0.329,0.830
2249,pomidory;ogórki,0.068,jajka,0.432,0.023,0.338,0.783
2250,jajka;ogórki,0.155,pomidory,0.196,0.023,0.148,0.757
2251,płatki owsiane;chleb pełnoziarnisty,0.073,banany,0.389,0.030,0.411,1.056
2252,płatki owsiane;banany,0.067,chleb pełnoziarnisty,0.414,0.030,0.448,1.082
2253,chleb pełnoziarnisty;banany,0.158,płatki owsiane,0.210,0.030,0.190,0.904
2254,jajka;chleb pełnoziarnisty,0.180,makaron pełnoziarnisty,0.183,0.027,0.150,0.820
2255,jajka;makaron pełnoziarnisty,0.067,chleb pełnoziarnisty,0.414,0.027,0.403,0.973
2256,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,jajka,0.432,0.027,0.386,0.893
2257,ogórki;banany,0.156,kurczak,0.192,0.023,0.147,0.768
2258,ogórki;kurczak,0.065,banany,0.389,0.023,0.354,0.910
2259,banany;kurczak,0.066,ogórki,0.396,0.023,0.348,0.880
2260,ziemniaki;jogurt naturalny,0.165,ogórki,0.396,0.053,0.321,0.811
2261,ziemniaki;ogórki,0.153,jogurt naturalny,0.434,0.053,0.346,0.798
2262,jogurt naturalny;ogórki,0.162,ziemniaki,0.401,0.053,0.327,0.816
2263,jabłka;jogurt naturalny,0.177,mleko,0.434,0.079,0.446,1.028
2264,jabłka;mleko,0.170,jogurt naturalny,0.434,0.079,0.465,1.071
2265,jogurt naturalny;mleko,0.184,jabłka,0.407,0.079,0.429,1.055
2266,jogurt naturalny;mleko,0.184,banany,0.389,0.063,0.342,0.880
2267,jogurt naturalny;banany,0.156,mleko,0.434,0.063,0.404,0.931
2268,banany;mleko,0.165,jogurt naturalny,0.434,0.063,0.382,0.880
2269,ser żółty;ogórki,0.172,mleko,0.434,0.076,0.442,1.018
2270,ser żółty;mleko,0.194,ogórki,0.396,0.076,0.392,0.989
2271,ogórki;mleko,0.162,ser żółty,0.418,0.076,0.469,1.122
2272,ziemniaki;jabłka,0.160,chleb pełnoziarnisty,0.414,0.067,0.419,1.011
2273,ziemniaki;chleb pełnoziarnisty,0.164,jabłka,0.407,0.067,0.409,1.004
2274,jabłka;chleb pełnoziarnisty,0.162,ziemniaki,0.401,0.067,0.414,1.031
2275,ziemniaki;oliwa z oliwek,0.071,jajka,0.432,0.030,0.423,0.978
2276,ziemniaki;jajka,0.177,oliwa z oliwek,0.196,0.030,0.169,0.865
2277,oliwa z oliwek;jajka,0.071,ziemniaki,0.401,0.030,0.423,1.054
2278,ser żółty;chleb pełnoziarnisty,0.160,banany,0.389,0.061,0.381,0.980
2279,ser żółty;banany,0.163,chleb pełnoziarnisty,0.414,0.061,0.374,0.904
2280,chleb pełnoziarnisty;banany,0.158,ser żółty,0.418,0.061,0.386,0.924
2281,oliwa z oliwek;jabłka,0.066,banany,0.389,0.027,0.409,1.052
2282,oliwa z oliwek;banany,0.069,jabłka,0.407,0.027,0.391,0.961
2283,jabłka;banany,0.160,oliwa z oliwek,0.196,0.027,0.169,0.861
2284,oliwa z oliwek;jogurt naturalny,0.085,mleko,0.434,0.033,0.388,0.895
2285,oliwa z oliwek;mleko,0.075,jogurt naturalny,0.434,0.033,0.440,1.014
2286,jogurt naturalny;mleko,0.184,oliwa z oliwek,0.196,0.033,0.179,0.915
2287,płatki owsiane;mleko,0.079,banany,0.389,0.022,0.278,0.716
2288,płatki owsiane;banany,0.067,mleko,0.434,0.022,0.328,0.757
2289,banany;mleko,0.165,płatki owsiane,0.210,0.022,0.133,0.635
2290,jabłka;ser żółty,0.163,chleb pełnoziarnisty,0.414,0.059,0.362,0.874
2291,jabłka;chleb pełnoziarnisty,0.162,ser żółty,0.418,0.059,0.364,0.871
2292,ser żółty;chleb pełnoziarnisty,0.160,jabłka,0.407,0.059,0.369,0.906
2293,jabłka;ryż brązowy,0.175,chleb pełnoziarnisty,0.414,0.079,0.451,1.090
2294,jabłka;chleb pełnoziarnisty,0.162,ryż brązowy,0.412,0.079,0.488,1.184
2295,ryż brązowy;chleb pełnoziarnisty,0.176,jabłka,0.407,0.079,0.449,1.103
2296,ser żółty;jogurt naturalny,0.175,banany,0.389,0.061,0.349,0.896
2297,ser żółty;banany,0.163,jogurt naturalny,0.434,0.061,0.374,0.862
2298,jogurt naturalny;banany,0.156,ser żółty,0.418,0.061,0.391,0.935
2299,jabłka;jajka,0.167,banany,0.389,0.056,0.335,0.862
2300,jabłka;banany,0.160,jajka,0.432,0.056,0.350,0.810
2301,jajka;banany,0.157,jabłka,0.407,0.056,0.357,0.876
2302,pomidory;ser żółty,0.065,banany,0.389,0.020,0.308,0.791
2303,pomidory;banany,0.066,ser żółty,0.418,0.020,0.303,0.725
2304,ser żółty;banany,0.163,pomidory,0.196,0.020,0.123,0.626
2305,jajka;ryż brązowy,0.171,mleko,0.434,0.072,0.421,0.970
2306,jajka;mleko,0.171,ryż brązowy,0.412,0.072,0.421,1.022
2307,ryż brązowy;mleko,0.181,jajka,0.432,0.072,0.398,0.921
2308,jabłka;płatki owsiane,0.082,banany,0.389,0.027,0.329,0.846
2309,jabłka;banany,0.160,płatki owsiane,0.210,0.027,0.169,0.804
2310,płatki owsiane;banany,0.067,jabłka,0.407,0.027,0.403,0.990
2311,oliwa z oliwek;jajka,0.071,jogurt naturalny,0.434,0.031,0.437,1.006
2312,oliwa z oliwek;jogurt naturalny,0.085,jajka,0.432,0.031,0.365,0.844
2313,jajka;jogurt naturalny,0.180,oliwa z oliwek,0.196,0.031,0.172,0.879
2314,płatki owsiane;ogórki,0.074,banany,0.389,0.020,0.270,0.695
2315,płatki owsiane;banany,0.067,ogórki,0.396,0.020,0.299,0.754
2316,ogórki;banany,0.156,płatki owsiane,0.210,0.020,0.128,0.611
2317,ziemniaki;chleb pełnoziarnisty,0.164,kurczak,0.192,0.026,0.159,0.826
2318,ziemniaki;kurczak,0.065,chleb pełnoziarnisty,0.414,0.026,0.400,0.966
2319,chleb pełnoziarnisty;kurczak,0.076,ziemniaki,0.401,0.026,0.342,0.853
2320,ser żółty;płatki owsiane,0.078,ryż brązowy,0.412,0.025,0.321,0.778
2321,ser żółty;ryż brązowy,0.171,płatki owsiane,0.210,0.025,0.146,0.696
2322,płatki owsiane;ryż brązowy,0.070,ser żółty,0.418,0.025,0.357,0.854
2323,ryż brązowy;ogórki,0.169,makaron pełnoziarnisty,0.183,0.024,0.142,0.776
2324,ryż brązowy;makaron pełnoziarnisty,0.067,ogórki,0.396,0.024,0.358,0.905
2325,ogórki;makaron pełnoziarnisty,0.070,ryż brązowy,0.412,0.024,0.343,0.832
2326,jabłka;jogurt naturalny,0.177,kurczak,0.192,0.027,0.153,0.794
2327,jabłka;kurczak,0.066,jogurt naturalny,0.434,0.027,0.409,0.943
2328,jogurt naturalny;kurczak,0.076,jabłka,0.407,0.027,0.355,0.873
2329,ziemniaki;chleb pełnoziarnisty,0.164,ogórki,0.396,0.060,0.366,0.924
2330,ziemniaki;ogórki,0.153,chleb pełnoziarnisty,0.414,0.060,0.392,0.947
2331,chleb pełnoziarnisty;ogórki,0.163,ziemniaki,0.401,0.060,0.368,0.918
2332,jabłka;płatki owsiane,0.082,ogórki,0.396,0.027,0.329,0.831
2333,jabłka;ogórki,0.150,płatki owsiane,0.210,0.027,0.180,0.857
2334,płatki owsiane;ogórki,0.074,jabłka,0.407,0.027,0.365,0.896
2335,oliwa z oliwek;jabłka,0.066,ogórki,0.396,0.021,0.318,0.803
2336,oliwa z oliwek;ogórki,0.063,jabłka,0.407,0.021,0.333,0.819
2337,jabłka;ogórki,0.150,oliwa z oliwek,0.196,0.021,0.140,0.714
2338,jabłka;płatki owsiane,0.082,jogurt naturalny,0.434,0.035,0.427,0.983
2339,jabłka;jogurt naturalny,0.177,płatki owsiane,0.210,0.035,0.198,0.942
2340,płatki owsiane;jogurt naturalny,0.079,jabłka,0.407,0.035,0.443,1.089
2341,oliwa z oliwek;jabłka,0.066,mleko,0.434,0.027,0.409,0.943
2342,oliwa z oliwek;mleko,0.075,jabłka,0.407,0.027,0.360,0.885
2343,jabłka;mleko,0.170,oliwa z oliwek,0.196,0.027,0.159,0.810
2344,płatki owsiane;ryż brązowy,0.070,mleko,0.434,0.029,0.414,0.955
2345,płatki owsiane;mleko,0.079,ryż brązowy,0.412,0.029,0.367,0.891
2346,ryż brązowy;mleko,0.181,płatki owsiane,0.210,0.029,0.160,0.763
2347,płatki owsiane;ryż brązowy,0.070,ogórki,0.396,0.025,0.357,0.902
2348,płatki owsiane;ogórki,0.074,ryż brązowy,0.412,0.025,0.338,0.820
2349,ryż brązowy;ogórki,0.169,płatki owsiane,0.210,0.025,0.148,0.704
2350,jajka;ryż brązowy,0.171,jogurt naturalny,0.434,0.067,0.392,0.903
2351,jajka;jogurt naturalny,0.180,ryż brązowy,0.412,0.067,0.372,0.903
2352,ryż brązowy;jogurt naturalny,0.172,jajka,0.432,0.067,0.390,0.902
2353,jajka;ogórki,0.155,makaron pełnoziarnisty,0.183,0.023,0.148,0.811
2354,jajka;makaron pełnoziarnisty,0.067,ogórki,0.396,0.023,0.343,0.867
2355,ogórki;makaron pełnoziarnisty,0.070,jajka,0.432,0.023,0.329,0.761
2356,ziemniaki;jajka,0.177,chleb pełnoziarnisty,0.414,0.074,0.418,1.010
2357,ziemniaki;chleb pełnoziarnisty,0.164,jajka,0.432,0.074,0.451,1.044
2358,jajka;chleb pełnoziarnisty,0.180,ziemniaki,0.401,0.074,0.411,1.025
2359,jabłka;płatki owsiane,0.082,jajka,0.432,0.031,0.378,0.875
2360,jabłka;jajka,0.167,płatki owsiane,0.210,0.031,0.186,0.884
2361,płatki owsiane;jajka,0.080,jabłka,0.407,0.031,0.388,0.952
2362,ziemniaki;ogórki,0.153,kurczak,0.192,0.021,0.137,0.715
2363,ziemniaki;kurczak,0.065,ogórki,0.396,0.021,0.323,0.816
2364,ogórki;kurczak,0.065,ziemniaki,0.401,0.021,0.323,0.806
2365,banany;mleko,0.165,kurczak,0.192,0.024,0.145,0.758
2366,mleko;kurczak,0.068,banany,0.389,0.024,0.353,0.907
2367,banany;kurczak,0.066,mleko,0.434,0.024,0.364,0.838
2368,ser żółty;chleb pełnoziarnisty,0.160,mleko,0.434,0.073,0.456,1.051
2369,ser żółty;mleko,0.194,chleb pełnoziarnisty,0.414,0.073,0.376,0.909
2370,chleb pełnoziarnisty;mleko,0.177,ser żółty,0.418,0.073,0.412,0.987
2371,ser żółty;chleb pełnoziarnisty,0.160,ogórki,0.396,0.069,0.431,1.089
